Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
2,1,3,0,2,0,1,230,3,210,2,4,7,26,1,2,2238
3,1,1,3,1,1,1,114,1,9,3,3,9,38,5,2,1892
2,0,2,2,3,2,0,138,0,2472,0,1,14,47,6,0,2595
2,0,2,1,3,1,2,157,1,74,1,3,20,5,7,0,1074
3,1,1,0,2,2,1,266,2,8457,2,1,3,5,6,1,4743
2,0,1,3,3,0,2,144,3,658,2,1,22,18,9,0,1647
0,1,0,3,3,2,0,56,1,5363,1,4,9,11,19,0,1832
0,1,0,2,2,1,2,59,2,54,3,3,5,39,15,2,2322
2,0,2,0,3,0,0,200,3,1376,1,3,3,31,15,1,2494
0,1,3,0,3,0,1,135,1,440,3,1,8,23,18,0,1178
1,1,1,2,3,0,0,146,0,1561,3,4,12,27,21,2,1427
3,0,1,2,2,1,0,111,2,69,1,5,9,4,4,0,3226
0,1,2,1,2,1,1,114,1,92,2,3,18,27,4,1,1593
0,1,0,3,0,2,2,111,1,2893,2,6,13,16,10,0,1732
3,0,3,3,1,0,1,123,1,1989,0,6,13,23,8,2,1743
2,1,1,3,0,0,0,225,2,692,0,6,9,24,15,2,2101
1,0,3,2,0,1,1,219,3,7,3,4,23,42,14,0,2609
2,1,3,0,3,0,1,104,1,948,2,6,1,6,22,1,1565
0,0,0,2,0,2,1,126,2,7622,1,2,6,37,9,0,5272
1,1,2,2,3,1,1,288,0,51,0,4,15,22,6,2,1220
1,0,0,1,0,2,1,282,1,2237,2,6,0,8,5,2,1300
3,1,3,3,3,0,0,69,1,1804,2,1,6,3,7,2,1024
2,0,2,1,3,1,2,110,0,85,0,3,14,4,3,0,706
3,0,1,0,2,2,1,165,3,472,0,4,17,24,20,1,2582
2,0,0,0,2,2,2,62,2,5737,1,1,5,20,20,1,4284
3,1,3,3,0,1,2,94,1,88,1,6,17,0,3,0,807
0,1,0,0,0,0,1,259,3,558,2,4,4,50,23,0,1991
3,0,1,3,0,0,2,67,1,752,2,3,14,37,14,0,1817
3,0,3,0,3,1,0,130,1,71,0,2,10,15,10,2,1490
0,1,2,3,0,0,0,258,3,1028,0,2,13,44,4,1,1561
3,1,0,2,3,0,2,189,3,1527,1,4,23,34,10,1,2202
0,1,1,0,2,1,2,262,3,88,2,5,24,8,15,0,2024
1,1,3,0,1,1,0,157,3,73,1,4,1,42,22,2,1659
1,1,3,0,3,2,1,280,2,8320,0,5,9,0,4,0,3911
1,0,1,1,2,1,2,121,0,72,1,6,11,4,10,1,1204
0,1,0,3,2,1,1,174,2,9,2,2,1,40,15,1,2431
3,0,1,0,0,1,2,173,3,60,1,2,16,14,20,0,1640
0,0,0,1,1,1,2,199,3,13,1,5,17,6,15,2,1648
0,0,2,3,3,1,0,94,1,32,0,6,15,5,17,0,1002
0,1,3,3,2,1,0,64,3,49,0,1,19,47,16,1,1771
2,1,2,1,0,0,0,100,2,1351,3,1,20,24,5,1,2028
1,1,1,2,2,0,1,240,2,1726,1,2,15,19,5,2,2540
0,1,2,0,0,0,2,245,0,1021,1,7,14,48,10,2,1386
1,1,3,0,2,1,2,270,1,62,0,5,22,21,11,0,1679
2,0,2,0,3,2,1,294,2,9488,0,5,16,20,18,1,3141
1,0,1,2,3,0,0,87,2,1037,2,4,0,11,24,2,2627
0,0,3,3,3,2,0,209,0,9555,2,2,13,43,3,1,1188
0,0,3,1,0,2,0,124,0,9031,3,5,1,11,5,1,3174
2,1,1,2,1,0,2,276,3,1461,2,7,19,5,12,0,2327
2,1,0,0,3,1,0,90,2,39,1,3,22,7,9,1,1822
3,1,0,3,1,2,2,136,0,5033,1,6,0,43,24,2,2665
0,0,0,0,0,0,2,246,3,1065,3,4,22,43,7,1,2129
1,0,3,3,3,0,1,94,1,927,1,5,18,10,21,1,1425
2,0,1,2,0,2,0,253,3,2277,2,1,0,11,20,0,1690
3,1,2,2,1,1,0,200,1,97,1,7,13,18,0,0,1717
1,0,0,3,2,2,2,281,3,7272,2,2,4,38,5,2,4060
3,1,1,3,0,2,2,82,1,5260,3,3,14,18,17,2,3262
2,1,3,2,2,0,1,73,1,1750,3,1,9,30,12,1,1674
3,0,1,0,1,2,1,246,3,2998,0,4,0,36,3,0,3135
0,0,3,3,1,2,2,98,1,9147,3,5,1,49,20,1,4465
2,0,3,1,0,0,0,256,1,1947,3,3,23,33,8,0,1984
2,1,1,3,0,2,1,287,2,4885,2,1,21,21,3,1,3246
3,1,2,0,0,1,0,63,3,20,2,4,1,6,14,2,1351
3,0,1,3,2,1,1,158,0,23,3,1,24,33,2,2,1929
3,0,2,1,0,1,1,241,3,34,2,5,24,15,10,1,2719
3,1,1,1,2,1,0,176,3,59,2,1,11,41,19,1,2336
1,1,1,3,3,0,1,189,0,682,0,6,0,35,3,0,1270
3,1,1,3,1,1,1,214,0,10,2,6,20,12,24,1,1803
1,1,0,0,0,1,2,264,2,10,1,1,7,22,17,0,1816
1,0,2,1,2,2,2,213,0,7964,0,1,16,43,9,2,4638
0,1,2,1,2,2,1,281,1,3606,0,3,16,8,22,0,1909
1,0,0,3,1,0,2,280,3,536,2,2,2,30,1,1,2021
1,0,2,2,1,0,0,125,1,1564,2,5,4,15,23,2,1896
3,0,0,0,0,1,0,188,3,78,0,4,11,21,3,2,1770
1,1,2,0,3,1,1,251,0,98,0,1,12,47,3,2,1323
1,1,3,0,3,0,0,285,2,1820,0,1,21,24,9,1,2269
3,0,0,2,3,0,0,234,0,243,3,4,20,36,5,1,1918
2,1,0,0,1,0,2,91,2,1586,0,7,8,43,2,1,2477
1,1,2,0,1,1,0,118,3,11,2,3,6,10,16,2,1444
3,1,1,1,1,1,0,75,0,72,0,5,15,42,16,0,1254
2,0,1,2,0,0,0,134,0,1157,0,5,19,35,10,2,1411
0,0,3,0,3,0,1,282,0,1380,3,4,7,11,8,2,1605
3,0,1,3,0,2,1,110,0,5765,1,5,7,2,18,2,3054
2,1,1,3,1,1,0,202,2,92,3,6,9,16,14,1,2902
2,0,3,3,0,2,0,56,3,7797,2,7,22,8,15,1,4301
1,1,0,1,0,1,1,223,2,50,0,3,12,35,22,1,2308
1,1,1,2,3,2,1,202,3,7629,1,1,17,37,2,2,4132
2,0,1,0,3,2,2,114,3,2367,1,3,1,41,23,2,2993
2,1,2,0,3,2,1,141,3,3960,1,1,7,21,1,1,3098
2,1,0,1,2,1,2,236,1,42,3,2,19,15,10,1,1364
1,1,2,0,2,2,2,95,1,6455,2,1,15,31,14,1,2941
2,1,1,2,0,1,0,249,3,41,2,4,6,2,4,0,1349
2,1,3,0,1,1,1,213,0,71,1,1,24,17,16,1,1038
3,0,1,1,3,1,0,81,0,39,1,7,16,31,15,2,1815
2,1,1,2,2,1,0,91,2,50,3,1,13,29,24,2,2566
2,1,0,1,3,2,2,291,2,8707,1,3,2,23,23,0,2439
3,1,3,1,0,2,2,70,2,167,0,2,9,7,20,1,2056
2,1,3,2,1,0,1,89,2,631,1,7,2,0,18,0,2299
2,0,0,1,0,0,0,121,1,194,2,6,15,16,18,0,1492
0,1,2,0,2,1,1,198,1,46,1,1,12,45,17,2,1692
3,0,1,2,3,1,0,234,3,37,3,3,15,29,3,1,2581
2,0,1,3,3,1,2,84,1,31,2,2,0,1,1,0,950
1,0,0,1,2,2,1,182,0,2880,0,5,10,9,1,0,1923
2,1,3,3,3,1,1,275,0,6,3,2,19,49,19,1,1751
0,1,3,2,2,1,2,228,2,40,0,6,1,35,7,0,2562
2,0,0,2,3,1,0,140,3,1,2,6,9,24,24,2,2456
2,1,1,2,0,0,2,232,0,1341,3,1,22,8,1,0,657
1,1,3,1,0,0,1,115,2,393,0,3,21,13,9,2,1758
3,1,0,0,1,0,0,157,3,191,1,4,2,44,12,0,2184
3,1,3,1,2,0,2,156,2,131,3,1,14,20,23,2,3009
0,0,2,0,3,2,1,252,2,1419,2,5,8,43,20,1,3748
1,1,0,0,0,2,0,162,1,9159,0,7,2,26,16,2,1122
3,0,1,0,3,2,0,145,0,8016,0,3,21,14,16,2,2810
2,1,2,0,0,1,0,214,0,87,1,3,24,32,23,2,1346
0,1,0,1,1,1,0,126,1,3,0,5,15,3,12,1,671
0,1,2,1,3,1,1,91,3,13,3,1,19,44,16,1,1695
1,1,2,2,0,1,0,205,0,74,2,3,6,2,19,2,810
0,1,3,1,3,2,0,285,3,7743,3,3,1,33,4,1,2768
0,1,0,2,1,0,0,178,0,993,2,7,11,2,13,0,1033
3,1,2,1,2,0,2,236,1,1997,2,4,6,17,6,2,2046
3,1,2,2,2,2,0,286,1,2721,0,6,23,30,22,2,2171
1,1,1,0,2,1,1,108,1,5,1,7,21,0,4,1,1312
3,0,0,1,3,0,2,76,1,941,2,1,24,3,18,2,1209
0,0,0,2,2,2,2,270,3,8815,0,2,7,37,9,0,4017
1,1,3,2,3,2,1,146,1,3276,3,1,13,10,10,2,877
3,0,0,1,0,2,2,221,0,3309,1,5,8,16,20,1,1856
3,0,3,2,3,2,1,230,0,2623,1,2,20,31,12,2,2197
3,1,2,1,0,2,1,295,2,7915,2,1,15,10,18,0,4281
0,0,0,3,0,2,2,177,3,8897,0,3,17,3,24,1,3480
0,1,1,1,1,1,1,189,0,19,1,1,22,36,7,0,953
0,0,2,0,1,2,1,174,3,3662,0,2,9,44,21,1,2046
3,0,0,1,2,2,0,193,0,611,2,6,12,37,5,0,2521
2,0,2,1,3,0,0,238,2,1431,2,6,1,33,3,1,3551
1,0,3,1,3,0,2,101,0,1978,1,3,14,36,11,1,1459
0,0,0,0,0,1,2,99,2,92,3,2,8,29,18,2,2492
3,0,2,0,2,1,1,50,3,82,2,1,10,23,16,2,2411
3,1,3,0,2,0,0,71,2,1851,2,7,15,0,20,1,2761
0,1,1,1,3,0,2,232,1,1224,3,3,7,26,9,0,1500
2,0,3,2,3,2,2,247,0,8219,3,5,18,2,5,0,1708
3,1,2,3,2,0,2,222,0,1390,3,4,19,2,7,2,1717
2,0,0,3,3,0,2,61,3,434,1,1,23,41,14,2,2135
0,0,0,3,3,2,2,137,0,7460,0,6,5,11,20,0,2042
1,1,0,2,3,1,0,157,1,15,0,1,20,50,18,0,1221
0,0,1,3,1,2,0,174,2,4686,3,2,0,47,2,2,3473
1,1,1,0,0,1,1,214,0,88,2,5,12,39,21,0,1378
1,1,3,3,0,1,2,214,2,40,3,2,21,43,2,1,2135
1,0,3,2,3,1,0,66,0,56,0,6,11,49,20,2,1464
2,1,0,3,2,1,2,123,2,14,3,6,22,2,22,1,2816
1,0,0,3,3,0,2,105,2,108,1,1,17,19,11,2,2210
3,1,2,3,1,2,1,125,0,5168,0,3,1,40,17,2,1552
1,0,0,2,2,2,0,280,3,672,0,3,24,34,18,2,2406
3,1,0,3,1,1,2,238,2,94,3,3,17,21,22,0,3004
3,1,1,0,3,2,2,270,1,3114,2,3,14,5,10,0,2540
1,1,1,1,1,2,0,80,1,7134,3,2,5,8,5,1,2424
2,1,0,2,2,2,2,276,1,8609,3,6,6,14,20,1,4000
1,1,2,3,1,0,1,210,0,852,3,1,16,32,10,2,1288
3,0,1,3,1,0,0,270,1,1673,1,6,16,50,14,1,2317
1,1,1,2,2,0,1,152,2,1564,2,7,9,17,15,1,2730
1,1,0,2,3,1,1,247,1,74,0,7,3,17,22,1,1371
1,1,2,0,1,2,2,145,1,2885,0,4,3,33,21,0,2349
1,0,0,1,1,2,0,260,1,8130,2,7,7,27,0,0,4536
2,1,1,1,3,0,1,283,2,228,3,3,2,40,17,2,2987
1,1,1,2,3,0,2,277,0,1162,1,4,1,20,7,0,1039
1,0,3,3,3,0,0,203,0,71,1,2,10,24,12,2,1036
3,1,2,1,1,2,0,213,3,6337,3,4,13,1,0,0,3620
1,0,0,2,1,0,0,135,1,1649,0,4,8,21,2,0,1009
0,1,2,0,1,2,1,96,2,6159,0,2,6,5,19,1,2895
2,0,2,2,0,2,2,162,0,9884,3,1,21,32,21,1,4294
1,0,0,2,3,2,2,233,3,4060,3,7,13,46,7,2,3429
0,1,2,0,1,1,2,262,1,68,1,7,11,13,9,1,1334
2,0,3,3,3,1,0,176,2,5,2,7,13,34,16,2,3697
1,1,3,1,1,0,1,176,1,702,0,4,7,31,18,0,1494
0,0,0,3,2,1,2,147,2,2,3,4,1,14,17,2,2779
2,1,2,3,2,1,1,83,1,42,0,1,7,0,1,2,993
1,1,2,3,2,0,0,205,0,274,3,5,20,32,0,0,1944
1,1,2,3,2,0,1,125,3,590,0,3,1,3,1,2,1474
2,0,1,1,1,2,1,145,3,84,0,1,1,5,22,1,1880
1,1,3,3,2,2,1,236,3,6908,2,3,15,8,17,1,3535
0,1,2,0,3,1,1,101,1,52,1,7,17,45,17,0,1644
3,1,1,2,1,2,0,77,3,121,3,2,2,0,3,0,1268
3,0,2,3,1,1,0,241,1,30,0,7,19,14,19,0,1529
3,0,0,1,0,0,0,124,1,1336,3,4,10,34,20,1,2076
3,0,2,3,0,1,1,82,0,89,2,4,5,49,10,0,1850
1,0,3,3,1,0,0,262,0,1412,0,6,10,7,19,0,1000
3,0,1,1,0,1,0,254,0,4,0,3,6,34,13,0,1485
2,1,3,2,2,0,2,76,1,1924,1,1,14,19,2,2,1139
0,1,3,0,1,1,0,207,0,64,2,2,8,13,14,2,682
2,0,0,0,1,2,1,234,0,8659,2,1,8,10,11,1,926
1,1,3,0,2,1,2,93,1,82,0,1,17,8,23,1,1037
1,1,0,3,0,1,1,76,2,31,0,4,1,0,0,2,1467
1,0,2,2,1,2,0,67,1,5230,1,3,5,6,0,0,914
0,1,2,1,0,0,0,101,3,450,3,4,22,35,20,2,1741
0,0,1,2,2,0,2,73,2,441,0,2,19,46,13,1,2742
3,1,1,1,3,2,0,280,1,6160,2,2,1,8,19,2,2988
2,1,0,1,2,1,1,85,3,35,1,4,20,34,4,0,2160
2,0,3,3,1,1,2,256,3,57,2,6,5,44,24,1,3098
1,0,1,0,3,1,2,193,2,7,3,3,10,43,7,0,2764
0,0,3,3,3,2,0,145,3,5469,1,4,16,5,5,2,2335
0,1,3,1,3,1,2,282,3,6,1,3,12,23,7,0,1462
3,0,2,0,2,0,2,133,3,21,0,3,5,31,11,0,2356
0,0,1,0,2,0,2,232,1,1127,1,1,19,45,16,2,1731
1,1,2,0,2,1,0,129,0,7,1,2,22,25,18,2,1162
1,1,1,2,2,2,1,140,3,6028,3,3,11,12,19,2,1884
0,0,0,0,3,2,2,155,1,1669,0,3,1,18,15,0,1505
3,0,3,3,3,0,1,171,0,1972,0,6,11,0,4,1,1252
1,1,2,3,0,0,2,274,0,684,1,6,9,22,10,2,1360
2,0,2,1,2,1,2,264,2,13,2,4,15,42,20,0,3824
1,0,0,0,2,2,1,98,2,8061,0,7,14,18,4,0,4580
1,1,0,1,2,2,1,252,0,2544,3,7,24,50,24,0,2833
0,0,1,1,0,1,2,256,1,46,3,1,17,35,14,1,1131
1,0,3,1,0,0,1,209,2,62,0,1,24,18,9,2,2382
1,0,0,3,3,2,1,269,3,4447,3,4,12,43,7,0,2649
1,0,3,2,3,2,1,113,1,4303,0,7,17,23,17,1,2706
2,0,0,0,0,2,2,270,2,3176,1,5,24,16,0,0,3045
0,0,3,2,3,2,0,72,1,7255,0,2,0,50,1,0,3134
3,0,0,3,3,1,2,101,2,62,3,7,2,19,11,2,3619
0,0,2,3,3,2,2,196,2,6254,0,6,21,45,20,1,5013
2,1,0,1,2,1,0,277,2,93,1,3,17,17,24,1,2443
1,1,2,1,3,1,0,91,0,86,0,3,2,8,7,0,488
